DestinationID,Name,City,State/UT,Type,Tags,Popularity,RatingCount,BestTimeToVisit,WeatherSummary,Latitude,Longitude,EntryFee,AverageCost,RecommendedDuration,Activities,Accessibility,NearestAirport,NearestRailwayStation,Description,DestinationImage,Hotel1_Name,Hotel1_Link,Hotel1_Price,Hotel2_Name,Hotel2_Link,Hotel2_Price,Hotel3_Name,Hotel3_Link,Hotel3_Price,Hotel4_Name,Hotel4_Link,Hotel4_Price
1371,Tumling Nepal Side,Tumling,West Bengal,Nature,"scenic views, peaceful, greenery, outdoors, nature walk, landscape, fresh air, beautiful, village, on, tourist favorite, must visit, photogenic",9.6,234000,Apr-May/Oct-Dec,Cold,27.0333,88.0167,0,50000-120952,2-3 days,Nepal stay,Moderate,Bagdogra (IXB),No railway,Beautiful village on Nepal side of Singalila ridge,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Coorg_Coffee_Plantation.jpg/1024px-Coorg_Coffee_Plantation.jpg,Palace Hotel Crown,https://www.google.com/search?q=Palace+Hotel+Crown+Tumling+hotel+booking,1432,Oberoi Tumling,https://www.google.com/search?q=Oberoi+Tumling+Tumling+hotel+booking,2987,Lemon Tree Tumling,https://www.google.com/search?q=Lemon+Tree+Tumling+Tumling+hotel+booking,4241,Oberoi Tumling,https://www.google.com/search?q=Oberoi+Tumling+Tumling+hotel+booking,6706
1372,Kalipokhri Sacred Lake,Kalipokhri,West Bengal,Nature,"lake view, serene spot, scenic views, peaceful, greenery, outdoors, nature walk, landscape, fresh air, sacred, black, lake, tourist favorite, must visit",9.5,156000,Apr-May/Oct-Dec,Cold,27.0667,88.0167,0,50000-120953,Full day,Holy lake,Challenging,Bagdogra (IXB),No railway,Sacred black lake that never freezes,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Loktak_Lake_Manipur.jpg/1024px-Loktak_Lake_Manipur.jpg,Taj Kalipokhri,https://www.google.com/search?q=Taj+Kalipokhri+Kalipokhri+hotel+booking,1403,Lodge Imperial,https://www.google.com/search?q=Lodge+Imperial+Kalipokhri+hotel+booking,2559,OYO Kalipokhri,https://www.google.com/search?q=OYO+Kalipokhri+Kalipokhri+hotel+booking,4494,Heritage Hotel Royal,https://www.google.com/search?q=Heritage+Hotel+Royal+Kalipokhri+hotel+booking,6815
1373,Barsey Rhododendron Trek,Hilley,Sikkim,Nature,"scenic views, peaceful, greenery, outdoors, nature walk, landscape, fresh air, one, best, rhododendron, tourist favorite, must visit, photogenic",9.7,189000,Apr-May,Cool,27.25,88.1333,0,50000-120956,3-5 days,Flower trek,Challenging,Bagdogra (IXB),No railway,One of the best rhododendron treks in India,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Valley_of_Flowers_Uttarakhand.jpg/1024px-Valley_of_Flowers_Uttarakhand.jpg,Treebo Hilley,https://www.google.com/search?q=Treebo+Hilley+Hilley+hotel+booking,1452,Heritage Hotel Imperial,https://www.google.com/search?q=Heritage+Hotel+Imperial+Hilley+hotel+booking,2830,Boutique Hotel Palace,https://www.google.com/search?q=Boutique+Hotel+Palace+Hilley+hotel+booking,3940,Resort Hilley,https://www.google.com/search?q=Resort+Hilley+Hilley+hotel+booking,6432
1374,Kaluk Kanchenjunga View,Kaluk,West Bengal,Nature,"scenic views, peaceful, greenery, outdoors, nature walk, landscape, fresh air, clearest, widest, kanchenjunga, tourist favorite, must visit, photogenic",9.7,312000,Oct-May,Cool,27.3,88.2333,0,50000-120957,2-4 days,180° view,Moderate,Bagdogra (IXB),No railway,Clearest & widest Kanchenjunga view in West Sikkim,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Jog_Falls_Karnataka.jpg/800px-Jog_Falls_Karnataka.jpg,Radisson Kaluk,https://www.google.com/search?q=Radisson+Kaluk+Kaluk+hotel+booking,1734,ITC Kaluk,https://www.google.com/search?q=ITC+Kaluk+Kaluk+hotel+booking,2201,Boutique Hotel Kaluk,https://www.google.com/search?q=Boutique+Hotel+Kaluk+Kaluk+hotel+booking,4407,Radisson Kaluk,https://www.google.com/search?q=Radisson+Kaluk+Kaluk+hotel+booking,7000
1375,Rinchenpong Monastery,Rinchenpong,Sikkim,Religious,"temple, pilgrimage, spiritual, holy site, devotional, cultural importance, ancient, monastery, unique, tourist favorite, must visit, photogenic",9.5,134000,Year-round,Cool,27.3167,88.2167,0,50000-120958,Full day,Heritage,Moderate,Bagdogra (IXB),No railway,Ancient monastery with unique poison-poke legend,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Meenakshi_Amman_Temple.jpg/800px-Meenakshi_Amman_Temple.jpg,Resort Palace,https://www.google.com/search?q=Resort+Palace+Rinchenpong+hotel+booking,1633,Palace Hotel Imperial,https://www.google.com/search?q=Palace+Hotel+Imperial+Rinchenpong+hotel+booking,2235,Hotel Royal,https://www.google.com/search?q=Hotel+Royal+Rinchenpong+hotel+booking,4264,Taj Rinchenpong,https://www.google.com/search?q=Taj+Rinchenpong+Rinchenpong+hotel+booking,6723
1376,Temi Tea Estate,Ravangla,Sikkim,Nature,"scenic views, peaceful, greenery, outdoors, nature walk, landscape, fresh air, only, tea, garden, tourist favorite, must visit, photogenic",9.6,234000,Year-round,Cool,27.2333,88.4167,0,50000-120959,Full day,Organic tea,Good,Bagdogra (IXB),No railway,Only tea garden in Sikkim ¢- produces world finest tea,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Valley_of_Flowers_Uttarakhand.jpg/1024px-Valley_of_Flowers_Uttarakhand.jpg,Palace Hotel Ravangla,https://www.google.com/search?q=Palace+Hotel+Ravangla+Ravangla+hotel+booking,1323,ITC Ravangla,https://www.google.com/search?q=ITC+Ravangla+Ravangla+hotel+booking,2404,Hotel Royal,https://www.google.com/search?q=Hotel+Royal+Ravangla+hotel+booking,4203,Lodge Grand,https://www.google.com/search?q=Lodge+Grand+Ravangla+hotel+booking,6562
1377,Samdruptse 153ft Guru,Namchi,Sikkim,Religious,"temple, pilgrimage, spiritual, holy site, devotional, cultural importance, world, tallest, padmasambhava, tourist favorite, must visit, photogenic",9.7,456000,Year-round,Cool,27.1833,88.35,0,50000-120961,Full day,Wish hill,Good,Bagdogra (IXB),No railway,World tallest Padmasambhava statue ¢- 153 ft,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Somnath_Temple.jpg/1024px-Somnath_Temple.jpg,OYO Namchi,https://www.google.com/search?q=OYO+Namchi+Namchi+hotel+booking,1427,OYO Namchi,https://www.google.com/search?q=OYO+Namchi+Namchi+hotel+booking,2894,Resort Grand,https://www.google.com/search?q=Resort+Grand+Namchi+hotel+booking,4204,Lemon Tree Namchi,https://www.google.com/search?q=Lemon+Tree+Namchi+Namchi+hotel+booking,6924
1378,Tendong Hill Trek,Namchi,Sikkim,Adventure,"trekking, camping, thrill, outdoor adventure, offbeat, hiking trails, mountain views, ancient, meditation, hill, tourist favorite, must visit, photogenic",9.5,112000,Mar-May,Cool,27.2,88.3667,0,50000-120962,Full day,360° view,Challenging,Bagdogra (IXB),No railway,Ancient meditation hill with panoramic Sikkim view,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Roopkund_Trek_Uttarakhand.jpg/800px-Roopkund_Trek_Uttarakhand.jpg,OYO Namchi,https://www.google.com/search?q=OYO+Namchi+Namchi+hotel+booking,1464,Treebo Namchi,https://www.google.com/search?q=Treebo+Namchi+Namchi+hotel+booking,2405,Boutique Hotel Crown,https://www.google.com/search?q=Boutique+Hotel+Crown+Namchi+hotel+booking,3834,Resort Lake View,https://www.google.com/search?q=Resort+Lake+View+Namchi+hotel+booking,6345
1379,Khecheopalri to Goecha La,Yuksom,Sikkim,Adventure,"trekking, camping, thrill, outdoor adventure, offbeat, hiking trails, mountain views, one, india, greatest, tourist favorite, must visit, photogenic",9.95,189000,Apr-May/Sep-Oct,Cold,27.4667,88.15,0,50000-120967,9-11 days,Best trek,Extreme,Bagdogra (IXB),No railway,One of India greatest treks ¢- closest view of Kanchenjunga,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Leh_Town.jpg/1024px-Leh_Town.jpg,OYO Yuksom,https://www.google.com/search?q=OYO+Yuksom+Yuksom+hotel+booking,1217,Marriott Yuksom,https://www.google.com/search?q=Marriott+Yuksom+Yuksom+hotel+booking,2459,Hyatt Yuksom,https://www.google.com/search?q=Hyatt+Yuksom+Yuksom+hotel+booking,4273,ITC Yuksom,https://www.google.com/search?q=ITC+Yuksom+Yuksom+hotel+booking,6934
1380,Gangtok MG Marg,Gangtok,Sikkim,Cultural,"most, beautiful, car, tourist favorite, must visit, photogenic",9.8,1456000,Evening,Cool,27.3333,88.6167,0,50000-120968,Evening,Night life,Excellent,Bagdogra (IXB),No railway,Most beautiful car-free boulevard in India,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Virupaksha_Temple_at_Hampi.jpg/1024px-Virupaksha_Temple_at_Hampi.jpg,ITC Gangtok,https://www.google.com/search?q=ITC+Gangtok+Gangtok+hotel+booking,1382,Hyatt Gangtok,https://www.google.com/search?q=Hyatt+Gangtok+Gangtok+hotel+booking,2614,Resort Imperial,https://www.google.com/search?q=Resort+Imperial+Gangtok+hotel+booking,3916,Hotel Heritage,https://www.google.com/search?q=Hotel+Heritage+Gangtok+hotel+booking,6448
1381,Baba Harbhajan Singh Mandir (New),Between Tsomgo & Nathula,Sikkim,Historical,"heritage, architecture, culture, monument, guided tour, photography, historic landmark, famous, temple, soldier, tourist favorite, must visit, photogenic",9.7,789000,May-Oct,Cold,27.3667,88.8,0,50000-120979,Full day,Army temple,Very challenging,Bagdogra (IXB),No railway,Famous temple of the soldier who still ¢-Åguards¢- the border,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/City_Palace_Udaipur.jpg/1024px-City_Palace_Udaipur.jpg,Treebo Between Tsomgo & Nathula,https://www.google.com/search?q=Treebo+Between+Tsomgo+&+Nathula+Between+Tsomgo+&+Nathula+hotel+booking,1450,Heritage Hotel Grand,https://www.google.com/search?q=Heritage+Hotel+Grand+Between+Tsomgo+&+Nathula+hotel+booking,2744,Lodge Between Tsomgo & Nathula,https://www.google.com/search?q=Lodge+Between+Tsomgo+&+Nathula+Between+Tsomgo+&+Nathula+hotel+booking,3982,Resort Royal,https://www.google.com/search?q=Resort+Royal+Between+Tsomgo+&+Nathula+hotel+booking,6697
1382,Tsomgo Lake (Changu Lake),Gangtok,Sikkim,Nature,"lake view, serene spot, scenic views, peaceful, greenery, outdoors, nature walk, landscape, fresh air, high, altitude, lake, tourist favorite, must visit",9.9,1456000,Apr-Jun/Sep-Nov,Cold,27.3833,88.7667,500,50000-120980,Full day,"Yak ride, cable car",Moderate,Bagdogra (IXB),No railway,High-altitude lake that changes colour ¢- sacred to Sikkimese,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Dal_Lake_Srinagar.jpg/1024px-Dal_Lake_Srinagar.jpg,Radisson Gangtok,https://www.google.com/search?q=Radisson+Gangtok+Gangtok+hotel+booking,1772,Oberoi Gangtok,https://www.google.com/search?q=Oberoi+Gangtok+Gangtok+hotel+booking,2868,Resort Royal,https://www.google.com/search?q=Resort+Royal+Gangtok+hotel+booking,4375,Boutique Hotel Heritage,https://www.google.com/search?q=Boutique+Hotel+Heritage+Gangtok+hotel+booking,6378
1383,Nathu La Pass,Gangtok,Sikkim,Historical,"heritage, architecture, culture, monument, guided tour, photography, historic landmark, one, three, open, tourist favorite, must visit, photogenic",9.9,912000,May-Oct (Wed-Sun),Extreme cold,27.3833,88.8333,Permit only,50000-120981,Full day,Border gate,Very challenging,Bagdogra (IXB),No railway,One of the three open trading border posts between India & China,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Manali_Himachal_Pradesh.jpg/1024px-Manali_Himachal_Pradesh.jpg,Hotel Crown,https://www.google.com/search?q=Hotel+Crown+Gangtok+hotel+booking,1879,Palace Hotel Gangtok,https://www.google.com/search?q=Palace+Hotel+Gangtok+Gangtok+hotel+booking,2872,Hotel Imperial,https://www.google.com/search?q=Hotel+Imperial+Gangtok+hotel+booking,4448,Lodge Royal,https://www.google.com/search?q=Lodge+Royal+Gangtok+hotel+booking,6570
1384,Pelling Skywalk & Chenrezig Statue,Pelling,Sikkim,Adventure,"trekking, camping, thrill, outdoor adventure, offbeat, hiking trails, mountain views, india, first, glass, tourist favorite, must visit, photogenic",9.9,912000,Year-round,Cool,27.3167,88.2333,500,50000-120992,Full day,Skywalk,Good,Bagdogra (IXB),No railway,India first glass skywalk + 137 ft Chenrezig statue,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Pangong_tso.jpg/1024px-Pangong_tso.jpg,Palace Hotel Grand,https://www.google.com/search?q=Palace+Hotel+Grand+Pelling+hotel+booking,1378,Oberoi Pelling,https://www.google.com/search?q=Oberoi+Pelling+Pelling+hotel+booking,2577,Heritage Hotel Crown,https://www.google.com/search?q=Heritage+Hotel+Crown+Pelling+hotel+booking,3773,Boutique Hotel Imperial,https://www.google.com/search?q=Boutique+Hotel+Imperial+Pelling+hotel+booking,6537
1385,Rabdentse Palace Ruins,Pelling,Sikkim,Historical,"heritage, architecture, culture, monument, guided tour, photography, historic landmark, ruins, second, capital, tourist favorite, must visit, photogenic",9.6,389000,Year-round,Cool,27.3,88.2333,0,50000-120993,2 hours,Archaeological site,Moderate,Bagdogra (IXB),No railway,Ruins of the second capital of Sikkim ¢- beautiful forest walk,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Kandariya_Mahadeva_Temple.jpg/1024px-Kandariya_Mahadeva_Temple.jpg,Hotel Grand,https://www.google.com/search?q=Hotel+Grand+Pelling+hotel+booking,1790,Radisson Pelling,https://www.google.com/search?q=Radisson+Pelling+Pelling+hotel+booking,2805,Palace Hotel Pelling,https://www.google.com/search?q=Palace+Hotel+Pelling+Pelling+hotel+booking,4066,Taj Pelling,https://www.google.com/search?q=Taj+Pelling+Pelling+hotel+booking,6688
1386,Kaluk ¢- Best Kanchenjunga View,Kaluk,Sikkim,Nature,"scenic views, peaceful, greenery, outdoors, nature walk, landscape, fresh air, widest, unobstructed, kanchenjunga, tourist favorite, must visit, photogenic",9.7,456000,Oct-May,Cool,27.3,88.2333,0,50000-120997,2-3 days,Homestay view,Moderate,Bagdogra (IXB),No railway,Widest unobstructed Kanchenjunga panorama in entire West Sikkim,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Tea_gardens_Munnar_Kerala.jpg/1024px-Tea_gardens_Munnar_Kerala.jpg,ITC Kaluk,https://www.google.com/search?q=ITC+Kaluk+Kaluk+hotel+booking,1218,Lodge Lake View,https://www.google.com/search?q=Lodge+Lake+View+Kaluk+hotel+booking,2882,Palace Hotel Kaluk,https://www.google.com/search?q=Palace+Hotel+Kaluk+Kaluk+hotel+booking,3798,Heritage Hotel Grand,https://www.google.com/search?q=Heritage+Hotel+Grand+Kaluk+hotel+booking,6353
1387,Maenam Wildlife Sanctuary Trek,Ravangla,Sikkim,Adventure,"trekking, camping, thrill, outdoor adventure, offbeat, hiking trails, mountain views, trek, through, dense, tourist favorite, must visit, photogenic",9.7,234000,Mar-Jun,Cool,27.3167,88.3833,0,50000-121000,Full day,Forest trek,Challenging,Bagdogra (IXB),No railway,Trek through dense forest to 10600 ft ¢- red panda sightings possible,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Kaza_in_Spiti_Valley.jpg/1024px-Kaza_in_Spiti_Valley.jpg,Resort Palace,https://www.google.com/search?q=Resort+Palace+Ravangla+hotel+booking,1969,Lemon Tree Ravangla,https://www.google.com/search?q=Lemon+Tree+Ravangla+Ravangla+hotel+booking,2673,Heritage Hotel Ravangla,https://www.google.com/search?q=Heritage+Hotel+Ravangla+Ravangla+hotel+booking,4115,Palace Hotel Ravangla,https://www.google.com/search?q=Palace+Hotel+Ravangla+Ravangla+hotel+booking,6420
1388,Samdruptse Hill (Padmasambhava Statue),Namchi,Sikkim,Religious,"temple, pilgrimage, spiritual, holy site, devotional, cultural importance, world, tallest, padmasambhava, tourist favorite, must visit, photogenic",9.8,789000,Year-round,Cool,27.1833,88.35,0,50000-121002,Full day,World tallest,Good,Bagdogra (IXB),No railway,World tallest Padmasambhava statue ¢- 153 ft ¢- wish-fulfilling hill,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Coorg_Coffee_Plantation.jpg/1024px-Coorg_Coffee_Plantation.jpg,Lodge Namchi,https://www.google.com/search?q=Lodge+Namchi+Namchi+hotel+booking,1695,Boutique Hotel Lake View,https://www.google.com/search?q=Boutique+Hotel+Lake+View+Namchi+hotel+booking,2335,Lodge Royal,https://www.google.com/search?q=Lodge+Royal+Namchi+hotel+booking,4171,OYO Namchi,https://www.google.com/search?q=OYO+Namchi+Namchi+hotel+booking,6747
1389,Khecheopalri to Goecha La Trek,Yuksom,Sikkim,Adventure,"trekking, camping, thrill, outdoor adventure, offbeat, hiking trails, mountain views, among, india, greatest, tourist favorite, must visit, photogenic",9.95,234000,Apr-May/Sep-Oct,Cold,27.4667,88.15,0,50000-121006,9-11 days,India best trek,Extreme,Bagdogra (IXB),No railway,Among India greatest treks ¢- closest view of Kanchenjunga,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Manali_Himachal_Pradesh.jpg/1024px-Manali_Himachal_Pradesh.jpg,OYO Yuksom,https://www.google.com/search?q=OYO+Yuksom+Yuksom+hotel+booking,1630,Boutique Hotel Palace,https://www.google.com/search?q=Boutique+Hotel+Palace+Yuksom+hotel+booking,2846,Marriott Yuksom,https://www.google.com/search?q=Marriott+Yuksom+Yuksom+hotel+booking,3907,Hotel Heritage,https://www.google.com/search?q=Hotel+Heritage+Yuksom+hotel+booking,6536
1390,Dzongri Trek (Short Version),Yuksom,Sikkim,Adventure,"trekking, camping, thrill, outdoor adventure, offbeat, hiking trails, mountain views, shorter, version, goecha, tourist favorite, must visit, photogenic",9.85,312000,Apr-May/Sep-Oct,Cold,27.4667,88.1667,0,50000-121007,5-7 days,Panoramic,Challenging,Bagdogra (IXB),No railway,Shorter version of Goecha La ¢- stunning 360° Himalayan views,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Pangong_tso.jpg/1024px-Pangong_tso.jpg,Hotel Imperial,https://www.google.com/search?q=Hotel+Imperial+Yuksom+hotel+booking,1386,Resort Royal,https://www.google.com/search?q=Resort+Royal+Yuksom+hotel+booking,2362,Hotel Imperial,https://www.google.com/search?q=Hotel+Imperial+Yuksom+hotel+booking,3724,Treebo Yuksom,https://www.google.com/search?q=Treebo+Yuksom+Yuksom+hotel+booking,6587
1391,Zuluk & Silk Route Circuit,Zuluk,Sikkim,Adventure,"trekking, camping, thrill, outdoor adventure, offbeat, hiking trails, mountain views, historic, old, silk, tourist favorite, must visit, photogenic",9.9,789000,May-Oct,Cold,27.2667,88.8167,0,50000-121009,3-5 days,"Thambi, Lungthung",Very challenging,Bagdogra (IXB),No railway,Historic Old Silk Route ¢- 71 hairpin bends & high-altitude lakes,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Kaza_in_Spiti_Valley.jpg/1024px-Kaza_in_Spiti_Valley.jpg,Inn Zuluk,https://www.google.com/search?q=Inn+Zuluk+Zuluk+hotel+booking,1490,Heritage Hotel Royal,https://www.google.com/search?q=Heritage+Hotel+Royal+Zuluk+hotel+booking,2201,Palace Hotel Zuluk,https://www.google.com/search?q=Palace+Hotel+Zuluk+Zuluk+hotel+booking,4105,Palace Hotel Heritage,https://www.google.com/search?q=Palace+Hotel+Heritage+Zuluk+hotel+booking,6708
1392,Kupup Lake & New Baba Mandir,Kupup,Sikkim,Nature,"lake view, serene spot, scenic views, peaceful, greenery, outdoors, nature walk, landscape, fresh air, elephant, shaped, lake, tourist favorite, must visit",9.8,612000,May-Oct,Extreme cold,27.35,88.8333,0,50000-121011,Full day,Yak polo,Very challenging,Bagdogra (IXB),No railway,Elephant-shaped lake & world highest golf course,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Loktak_Lake_Manipur.jpg/1024px-Loktak_Lake_Manipur.jpg,Palace Hotel Kupup,https://www.google.com/search?q=Palace+Hotel+Kupup+Kupup+hotel+booking,1807,Inn Grand,https://www.google.com/search?q=Inn+Grand+Kupup+hotel+booking,2629,Lemon Tree Kupup,https://www.google.com/search?q=Lemon+Tree+Kupup+Kupup+hotel+booking,4055,Hotel Crown,https://www.google.com/search?q=Hotel+Crown+Kupup+hotel+booking,6538
1393,Latpanchar ¢- Hornbill Paradise,Latpanchar,West Bengal,Wildlife,"safari, wild animals, forest, nature photography, bird watching, jungle exploration, highest, altitude, hornbill, tourist favorite, must visit, photogenic",9.8,234000,Nov-Apr,Cool,26.9,88.4667,0,50000-121014,2-4 days,Birding,Moderate,Bagdogra (IXB),No railway,Highest altitude hornbill nesting site in India ¢- birders¢-¢ heaven,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Jim_Corbett_National_Park.jpg/1024px-Jim_Corbett_National_Park.jpg,Lodge Palace,https://www.google.com/search?q=Lodge+Palace+Latpanchar+hotel+booking,1561,Resort Latpanchar,https://www.google.com/search?q=Resort+Latpanchar+Latpanchar+hotel+booking,2403,Heritage Hotel Heritage,https://www.google.com/search?q=Heritage+Hotel+Heritage+Latpanchar+hotel+booking,3978,Palace Hotel Lake View,https://www.google.com/search?q=Palace+Hotel+Lake+View+Latpanchar+hotel+booking,6675
1394,Sillery Gaon & Ramitey Dara,Sillery Gaon,West Bengal,Nature,"scenic views, peaceful, greenery, outdoors, nature walk, landscape, fresh air, silent, valley, viewpoint, tourist favorite, must visit, photogenic",9.8,456000,Oct-May,Cool,27.1333,88.6,0,50000-121016,2-4 days,25 rivers,Moderate,Bagdogra (IXB),No railway,Silent valley with viewpoint from where 25 rivers are visible,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Loktak_Lake_Manipur.jpg/1024px-Loktak_Lake_Manipur.jpg,Hotel Imperial,https://www.google.com/search?q=Hotel+Imperial+Sillery+Gaon+hotel+booking,1340,Lodge Palace,https://www.google.com/search?q=Lodge+Palace+Sillery+Gaon+hotel+booking,2528,Heritage Hotel Imperial,https://www.google.com/search?q=Heritage+Hotel+Imperial+Sillery+Gaon+hotel+booking,4307,Hotel Lake View,https://www.google.com/search?q=Hotel+Lake+View+Sillery+Gaon+hotel+booking,6576
1395,Rishop (Rishyap),Rishop,West Bengal,Nature,"scenic views, peaceful, greenery, outdoors, nature walk, landscape, fresh air, village, magical, tourist favorite, must visit, photogenic",9.8,456000,Oct-May,Cool,27.1167,88.6333,0,50000-121017,2-4 days,Neora view,Moderate,Bagdogra (IXB),No railway,Peaceful village with magical Tiffindara sunrise point,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Loktak_Lake_Manipur.jpg/1024px-Loktak_Lake_Manipur.jpg,Resort Lake View,https://www.google.com/search?q=Resort+Lake+View+Rishop+hotel+booking,1673,Resort Heritage,https://www.google.com/search?q=Resort+Heritage+Rishop+hotel+booking,2506,Hotel Imperial,https://www.google.com/search?q=Hotel+Imperial+Rishop+hotel+booking,4328,Palace Hotel Imperial,https://www.google.com/search?q=Palace+Hotel+Imperial+Rishop+hotel+booking,6826
1396,Chatakpur Eco Village,Chatakpur,West Bengal,Nature,"scenic views, peaceful, greenery, outdoors, nature walk, landscape, fresh air, eco, village, inside, tourist favorite, must visit, photogenic",9.85,512000,Oct-May,Cool,26.95,88.3,0,50000-121019,2-3 days,Red panda,Moderate,Bagdogra (IXB),No railway,Eco-village inside Senchal Wildlife Sanctuary ¢- often above clouds,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Valley_of_Flowers_Uttarakhand.jpg/1024px-Valley_of_Flowers_Uttarakhand.jpg,Inn Heritage,https://www.google.com/search?q=Inn+Heritage+Chatakpur+hotel+booking,1873,Inn Imperial,https://www.google.com/search?q=Inn+Imperial+Chatakpur+hotel+booking,2971,Inn Palace,https://www.google.com/search?q=Inn+Palace+Chatakpur+hotel+booking,4014,Oberoi Chatakpur,https://www.google.com/search?q=Oberoi+Chatakpur+Chatakpur+hotel+booking,6512
1397,Lamahatta Eco Park & Pine Road,Lamahatta,West Bengal,Nature,"scenic views, peaceful, greenery, outdoors, nature walk, landscape, fresh air, road, lined, thousands, tourist favorite, must visit, photogenic",9.75,512000,Oct-May,Cool,27.0333,88.4,100,50000-121022,Full day,Scenic road,Moderate,Bagdogra (IXB),New Jalpaiguri,Road lined with thousands of prayer flags & pine trees,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Pangong_tso.jpg/1024px-Pangong_tso.jpg,Lemon Tree Lamahatta,https://www.google.com/search?q=Lemon+Tree+Lamahatta+Lamahatta+hotel+booking,1783,Radisson Lamahatta,https://www.google.com/search?q=Radisson+Lamahatta+Lamahatta+hotel+booking,2971,Marriott Lamahatta,https://www.google.com/search?q=Marriott+Lamahatta+Lamahatta+hotel+booking,3982,Inn Palace,https://www.google.com/search?q=Inn+Palace+Lamahatta+hotel+booking,6788
1398,Sittong Orange Village,Sittong,West Bengal,Nature,"scenic views, peaceful, greenery, outdoors, nature walk, landscape, fresh air, famous, orange, village, tourist favorite, must visit, photogenic",9.7,389000,Nov-Feb,Cool,26.9167,88.4667,0,50000-121024,2-3 days,Orange picking,Moderate,Bagdogra (IXB),No railway,Famous orange village with beautiful riverside church,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Coorg_Coffee_Plantation.jpg/1024px-Coorg_Coffee_Plantation.jpg,Lemon Tree Sittong,https://www.google.com/search?q=Lemon+Tree+Sittong+Sittong+hotel+booking,1470,Boutique Hotel Lake View,https://www.google.com/search?q=Boutique+Hotel+Lake+View+Sittong+hotel+booking,2349,Palace Hotel Imperial,https://www.google.com/search?q=Palace+Hotel+Imperial+Sittong+hotel+booking,4212,Palace Hotel Sittong,https://www.google.com/search?q=Palace+Hotel+Sittong+Sittong+hotel+booking,6940
1399,Bara Mangwa & Chota Mangwa,Bara Mangwa,West Bengal,Nature,"scenic views, peaceful, greenery, outdoors, nature walk, landscape, fresh air, organic, farming, villages, tourist favorite, must visit, photogenic",9.7,312000,Nov-Feb,Cool,26.9333,88.4333,0,50000-121025,2-3 days,Farm stay,Moderate,Bagdogra (IXB),No railway,Organic farming villages with breathtaking Teesta views,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Shimla_India.jpg/1024px-Shimla_India.jpg,OYO Bara Mangwa,https://www.google.com/search?q=OYO+Bara+Mangwa+Bara+Mangwa+hotel+booking,1857,OYO Bara Mangwa,https://www.google.com/search?q=OYO+Bara+Mangwa+Bara+Mangwa+hotel+booking,2796,Marriott Bara Mangwa,https://www.google.com/search?q=Marriott+Bara+Mangwa+Bara+Mangwa+hotel+booking,3802,Hotel Royal,https://www.google.com/search?q=Hotel+Royal+Bara+Mangwa+hotel+booking,6978
1400,Teesta Rafting (Grade III¢-IV),Teesta Bazaar,West Bengal,Adventure,"trekking, camping, thrill, outdoor adventure, offbeat, hiking trails, mountain views, best, white, water, tourist favorite, must visit, photogenic",9.8,789000,Oct-May,Cool,27,88.5,2500+,50000-121028,Full day,Rafting,Moderate,Bagdogra (IXB),New Jalpaiguri,Best white-water rafting stretch in Eastern India,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Manali_Himachal_Pradesh.jpg/1024px-Manali_Himachal_Pradesh.jpg,Resort Royal,https://www.google.com/search?q=Resort+Royal+Teesta+Bazaar+hotel+booking,1907,Boutique Hotel Teesta Bazaar,https://www.google.com/search?q=Boutique+Hotel+Teesta+Bazaar+Teesta+Bazaar+hotel+booking,2979,Inn Crown,https://www.google.com/search?q=Inn+Crown+Teesta+Bazaar+hotel+booking,4231,Inn Heritage,https://www.google.com/search?q=Inn+Heritage+Teesta+Bazaar+hotel+booking,6579
